
$SESSION,1,V,2015-10-28T11:40:30.097,ASL/16/3937*20
2015-10-30T09:49:16.959,þ€440D A088 C1FC
2015-10-30T09:49:18.964,þÀ64CC D2D2 C7E3
2015-10-30T09:49:20.969,þ€66CC D292 C6E9
2015-10-30T09:49:21.971,þÀ66CC D290 C8F4
2015-10-30T09:49:23.976,þ€66CC D2D2 C4F3
2015-10-30T09:49:24.979,þÀ66CC D2D2 C7EA
2015-10-30T09:49:25.981,þ€66CC D0D0 C6EE
2015-10-30T09:49:28.989,þÀ464C D2C2 C4F4
2015-10-30T09:49:32.999,þ€66CC D292 C6E5
2015-10-30T09:49:36.006,þÀ66C8 D2D2 C4EF
2015-10-30T09:49:39.014,þ€64CC D2C2 C4F2
2015-10-30T09:49:42.021,þÀ664C C2D2 C5F1
2015-10-30T09:50:01.070,þ€66CC D0D2 C3F1
2015-10-30T09:50:17.110,þÀ464C D2C0 C6FF
2015-10-30T09:50:29.141,þ€66C4 C2D2 C4F1
2015-10-30T09:50:29.572,þÀ66CC D252 C5E9
2015-10-30T09:50:32.149,þ€400C A000 C4F7
2015-10-30T09:50:34.154,þÀ6644 5252 C6E8
2015-10-30T09:50:35.156,þ€66CC D2D2 C6DE
2015-10-30T09:50:38.164,þÀ66CC C2D2 C6F7
2015-10-30T09:50:43.177,þ€648C C292 C6F3
2015-10-30T09:50:48.190,þÀ66C4 52D2 C6EB
2015-10-30T09:50:49.192,þ€668C D292 C4EE
2015-10-30T09:50:56.211,þÀ66CC C2D2 C5E5
2015-10-30T09:50:58.216,þ€66CC D0D0 C5E6
2015-10-30T09:50:59.284,þÀ268C 52D2 C5E8
2015-10-30T09:51:10.178,þ€66AD B404 C2F8
2015-10-30T09:51:16.264,þÀ40A9 94CC C6FF
2015-10-30T09:51:19.272,þ€66CC D2D2 C4E6
2015-10-30T09:51:21.278,þÀ66CC D050 C5E4
2015-10-30T09:51:29.299,þ€66CC D2D2 C4EE
2015-10-30T09:51:35.316,þÀ24CC 90D2 C6F3
2015-10-30T09:51:37.321,þ€62CC 5292 C3EA
2015-10-30T09:51:41.332,þÀ62CC D292 C3F9
2015-10-30T09:51:44.341,þ€66CC D2D2 C6E0
2015-10-30T09:51:45.838,þÀ6284 D2D0 C4F8
2015-10-30T09:51:46.346,þ€4625 B44C C2F9
2015-10-30T09:51:56.373,þÀ66CC C252 C5EE
2015-10-30T09:52:00.696,þ€66CC D2D2 C5E2
2015-10-30T09:52:07.630,þÀ0629 A4CC C2FF
2015-10-30T09:52:16.544,þ€6421 948C C3ED
2015-10-30T09:52:24.467,þÀ22AD A404 C3F4
2015-10-30T09:52:33.478,þ€22AD 10C8 C4FD
2015-10-30T09:52:35.484,þÀ648C D2D2 C4EB
2015-10-30T09:52:37.489,þ€664C D292 C6E7
2015-10-30T09:52:38.491,þÀ664C D2D2 C5EE
2015-10-30T09:52:39.494,þ€66CC D252 C7E5
2015-10-30T09:52:46.513,þÀ66C8 D042 C4F7
2015-10-30T09:52:56.541,þ€46CC 9242 C4E5
2015-10-30T09:53:07.571,þÀ66CC C0D2 C5ED
2015-10-30T09:53:09.577,þ€468C C052 C6F7
2015-10-30T09:53:12.585,þÀ62CC D2D2 C6EA
2015-10-30T09:53:17.598,þ€66CC D2D0 C5EC
2015-10-30T09:53:23.614,þÀ66C4 9292 C5E6
2015-10-30T09:53:31.635,þ€648C D0D0 C4EC
2015-10-30T09:53:34.785,þÀ6244 D2D2 C4EF
2015-10-30T09:53:43.665,þ€66AD B48C C3FA
2015-10-30T09:53:46.670,þÀ66CC 52D0 C5F0
2015-10-30T09:54:00.708,þ€46A9 B0C8 C5FA
2015-10-30T09:54:04.717,þÀ62CC 42D0 C3F4
2015-10-30T09:54:13.739,þ€664C D2D2 C5E4
2015-10-30T09:54:21.338,þÀ664C C2D2 C5FB
2015-10-30T09:54:22.329,þ€620D B0CC C6F7
2015-10-30T09:54:24.766,þÀ4625 B44C C3F3
2015-10-30T09:54:31.244,þ€46CC D0D2 C3F9
2015-10-30T09:54:34.789,þÀ26A5 34CC C4F0
2015-10-30T09:54:36.794,þ€46C4 92D2 C4E3
2015-10-30T09:54:38.798,þÀ66CC D2D2 C5DC
2015-10-30T09:54:47.818,þ€62CC D2D2 C4F6
2015-10-30T09:54:48.821,þÀ66CC D2D2 C5E4
2015-10-30T09:54:49.823,þ€66CC D252 C4E6
2015-10-30T09:54:52.829,þÀ66C4 D2D2 C8E3
2015-10-30T09:54:54.834,þ€66CC D2D2 C5EC
2015-10-30T09:54:55.836,þÀ66CC D2D2 C5EC
2015-10-30T09:54:56.007,þ€26CC D0D2 C7E2
2015-10-30T09:54:58.842,þÀ240D B0CC C4F3
2015-10-30T09:55:01.848,þ€64CC 92D2 C5F7
2015-10-30T09:55:03.853,þÀ26CC D2D2 C5EB
2015-10-30T09:55:04.854,þ€624C 525A C4EC
2015-10-30T09:55:09.865,þÀ66CC D292 C7EA
2015-10-30T09:55:12.871,þ€44CC 52D2 C3F1
2015-10-30T09:55:13.834,þÀ26CC D290 C5EB
2015-10-30T09:55:19.776,þ€662D 944C C3F5
2015-10-30T09:55:24.894,þÀ662D B4CC C3F0
2015-10-30T09:55:31.907,þ€46CC D2D2 C4DF
2015-10-30T09:55:37.913,þÀ66CC 92D2 C3F2
2015-10-30T09:55:42.915,þ€46CC D2D2 C8EA
2015-10-30T09:55:43.916,þÀ62CC D2D2 C4DE
2015-10-30T09:55:46.921,þ€66CC D2D2 C7EB
2015-10-30T09:55:53.928,þÀ66CC 50D2 C9E2
2015-10-30T09:56:01.368,þ€66C4 D2D2 C5E1
2015-10-30T09:56:04.924,þÀ6489 30CC C6EB
2015-10-30T09:56:08.920,þ€66CC D2D2 C4EF
2015-10-30T09:56:29.094,þÀ26CC 9252 C5EE
2015-10-30T09:56:31.074,þ€66AC B44C C5F3
2015-10-30T09:56:42.957,þÀ4621 B4C8 C3FC
2015-10-30T09:56:48.899,þ€602D A0CC C5F4
2015-10-30T09:56:52.860,þÀ662D 30C8 C3FA
2015-10-30T09:56:54.005,þ€64A9 34C8 C5F5
2015-10-30T09:57:01.772,þÀ60CC C3D5 C7FF
2015-10-30T09:57:09.694,þ€6629 90CC C5EF
2015-10-30T09:57:10.499,þÀ668D B4CC C5F9
2015-10-30T09:57:15.636,þ€66CC D292 C5F6
