Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Jan-2016,09:38:39.012,34D5 31D3, 3,36,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:16.122,4B52 4822, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:17.140,4B12 4B66, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:18.159,4B52 0366, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:21.214,0B50 4B26, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:24.270,4B52 4066, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:25.288,4310 0B66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:28.344,4B52 4B06, C,7C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:30.381,4952 4360, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:33.436,0952 4366, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:35.473,4952 4942, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:38.529,4B52 4B66, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:39.547,4B52 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:40.566,4B52 0B66, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:43.621,4B02 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:44.640,4B52 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:45.659,4B52 4A26, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:48.714,4B52 4B62, C,CC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:49.733,4B52 4262, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:50.752,4B50 4B66, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:53.807,4B12 4866, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:56.863,4B42 0B62, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:02.974,4B52 0B66, C,BC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:06.029,4B52 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:08.066,4B42 4B60, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:09.085,4B42 4B64, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:10.104,4B42 4326, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:11.122,4B52 4366, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:13.159,4B52 4366, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:17.233,4140 4204, C,7F,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:22.325,4A52 0A46, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:28.436,0B52 4862, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:30.474,4B52 4966, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:32.511,4A52 4924, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:34.548,4352 4B26, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:35.566,4B12 4B60, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:41.677,4B50 4B66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:44.732,4352 4B66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:47.788,0B52 4844, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:51.862,4B52 4964, C,7D,19-Jan-2016,21:56:41.602
