Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time
25-Feb-2016,01:00:54.444,1200 1700,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:01:38.611,2004 0C2A,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:06:26.777,1220 2040,C2,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:12:46.440,2114 2040,C8,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:16:27.945,6403 898D,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:16:48.577,0020 1000,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:20:31.245,4E01 2004,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:31:57.163,0810 0088,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:36:56.186,1104 0100,C5,F4,24-Feb-2016,11:52:46.551
25-Feb-2016,01:37:16.928,C008 4480,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:38:04.282,41FF 2A9A,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:39:24.674,B107 5005,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:41:01.681,0000 0058,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:42:45.907,62C0 2800,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:43:25.514,0302 0000,C2,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:44:41.209,0111 4312,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:44:44.079,0000 920A,C8,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:45:13.431,1000 0424,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:52:28.882,200C A620,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:52:39.945,80C8 0029,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:54:53.589,18BD 0981,C2,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,01:56:50.634,2A91 9A60,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:01:17.448,1880 2823,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:03:25.309,2200 0401,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:06:52.858,0094 0A44,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:10:10.148,A021 0040,E4,FB,24-Feb-2016,11:52:46.551
25-Feb-2016,02:11:43.147,0202 6F40,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:12:52.693,0A00 0006,D0,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:13:39.134,0408 0312,C8,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:18:43.276,038A 8108,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:21:28.511,0420 2006,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:25:46.341,0100 0035,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:25:57.930,0844 2100,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:27:17.918,2D81 A500,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:27:28.265,0740 2085,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:27:54.165,0C02 10C4,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:28:15.856,01E1 00C1,C2,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:31:25.549,9101 2600,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:32:09.780,D020 2200,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:32:37.041,00C0 4001,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:33:35.035,0184 0480,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:34:23.234,2208 0049,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:34:52.960,4100 E484,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:35:56.499,8510 A000,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:36:06.009,0181 1020,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:36:24.923,2180 02A0,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:42:47.393,4004 0900,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:46:21.701,0341 2400,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:46:23.726,4086 5401,C8,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:46:39.507,0410 0008,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:53:04.227,801A 7C19,C8,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,02:55:03.837,0C02 0108,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:00:49.649,E011 A506,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:01:07.750,4014 E015,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:02:50.654,2000 400A,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:04:08.465,0824 A288,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:05:41.030,14C0 4408,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:08:06.382,8090 0443,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:14:58.677,0404 2028,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:20:21.553,0140 0000,C5,FD,24-Feb-2016,11:52:46.551
25-Feb-2016,03:23:12.998,C002 4283,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:23:15.841,08C1 8506,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:27:39.656,2401 0600,C5,F3,24-Feb-2016,11:52:46.551
25-Feb-2016,03:31:50.513,0008 8500,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:32:10.726,1001 6E90,C8,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:35:27.093,1006 0410,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:35:51.861,1024 4900,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:35:58.311,1582 8905,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:38:48.631,1200 02A2,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:39:22.998,2420 EC18,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:40:48.294,0108 0080,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:41:36.742,2042 0001,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:45:46.825,2080 2906,C8,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:47:43.397,5280 0090,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:48:41.727,1640 50A0,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:49:03.232,9200 2111,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:49:13.866,5012 8400,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:52:25.509,C022 E0C2,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:54:01.930,0C00 880C,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:54:10.444,C010 3720,C2,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,03:57:36.699,E608 001A,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:00:08.257,8208 0000,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:03:53.291,5430 0014,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:05:59.335,0000 8400,C5,F8,24-Feb-2016,11:52:46.551
25-Feb-2016,04:06:12.551,4868 7041,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:06:23.319,0000 0245,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:07:06.246,148C 5E82,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:08:01.961,0239 2000,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:08:30.621,0189 505A,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:08:37.230,0601 2000,CB,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:11:48.189,2A18 C140,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:13:54.264,4800 0000,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:14:53.721,0080 0088,C8,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:17:46.785,2010 0818,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,04:17:57.222,8440 2975,C4,FF,24-Feb-2016,11:52:46.551
