Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Sep-2014,08:18:41.445,3B6F FD9F, 5,56,20-Sep-2014,08:18:41.444
20-Sep-2014,10:37:30.561,5555 2A55, D,18,20-Sep-2014,08:18:41.444
20-Sep-2014,10:45:57.914,5555 2A55, C,6D,20-Sep-2014,08:18:41.444
20-Sep-2014,10:46:53.314,66C4 9980, C,5D,20-Sep-2014,08:18:41.444
20-Sep-2014,10:46:55.302,66CC 99AA, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:46:57.292,66CC 99AA, D,B8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:46:59.283,66CC 99AA, C,CA,20-Sep-2014,08:18:41.444
20-Sep-2014,10:47:01.270,66CC 99AA, D,48,20-Sep-2014,08:18:41.444
20-Sep-2014,10:51:57.689,66CC 99AA, E,28,20-Sep-2014,08:18:41.444
20-Sep-2014,10:51:59.686,5252 5266, C,AA,20-Sep-2014,08:18:41.444
20-Sep-2014,10:52:04.473,5252 5266, C,9B,20-Sep-2014,08:18:41.444
20-Sep-2014,10:52:12.860,4000 0000, C,A9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:52:24.440,66CC 99AA, C,D9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:52:33.075,66CC 19AA, C,7E,20-Sep-2014,08:18:41.444
20-Sep-2014,10:54:09.915,5000 0000, C,B9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:54:11.904,46CC 99A2, C,5E,20-Sep-2014,08:18:41.444
20-Sep-2014,10:54:48.982,66CC 99AA, E,88,20-Sep-2014,08:18:41.444
20-Sep-2014,10:54:50.980,5252 5266, C,8B,20-Sep-2014,08:18:41.444
20-Sep-2014,10:54:54.976,5252 5266, C,AA,20-Sep-2014,08:18:41.444
20-Sep-2014,10:54:56.975,5252 5266, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,10:54:58.974,5252 5266, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:00.973,5252 5266, C,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:04.970,5252 5266, D,18,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:06.969,5252 5266, D,58,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:08.968,5252 5266, D,38,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:10.968,5252 5266, E,39,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:12.967,5252 5266, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:47.419,5252 5266, E,39,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:49.418,5252 5266, C,EA,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:50.234,5252 5266, E,A8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:51.418,5555 2A55, C,BA,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:53.418,5252 5266, E,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:55.417,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:57.417,5252 5266, E,88,20-Sep-2014,08:18:41.444
20-Sep-2014,10:55:59.416,5252 5266, E,49,20-Sep-2014,08:18:41.444
20-Sep-2014,10:56:01.416,5252 5266, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,10:56:03.416,5252 5266, D,A9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:56:05.415,5252 5266, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,10:56:30.931,5252 5266, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,10:56:32.928,5252 5266, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,10:56:35.778,4000 0000, D,18,20-Sep-2014,08:18:41.444
20-Sep-2014,10:58:38.152,66CC 99AA, C,6C,20-Sep-2014,08:18:41.444
20-Sep-2014,10:58:42.128,66CC 99AA, C,C9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:58:43.329,66CC 99AA, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,10:58:44.115,5555 2A55, C,EB,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:04.716,6000 0000, C,F8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:06.715,5252 5266, D,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:08.714,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:10.714,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:12.714,5252 5266, E,28,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:16.712,5252 5266, C,DA,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:18.710,5252 5266, E,59,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:44.582,5252 5266, E,49,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:54.996,5252 5266, E,89,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:57.144,5555 2A55, C,CB,20-Sep-2014,08:18:41.444
20-Sep-2014,11:01:59.143,5252 5266, C,AB,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:01.141,5252 5266, D,89,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:03.140,5252 5266, E,38,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:05.140,5252 5266, E,99,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:07.139,5252 5266, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:09.139,5252 5266, D,38,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:11.139,5252 5266, D,08,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:13.139,5252 5266, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:15.139,5252 5266, E,38,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:17.139,5252 5266, D,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:19.138,5252 5266, D,B8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:23.138,5252 5266, C,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:35.136,5252 5266, D,59,20-Sep-2014,08:18:41.444
20-Sep-2014,11:02:37.133,5212 5266, C,4C,20-Sep-2014,08:18:41.444
20-Sep-2014,11:03:53.852,5252 5266, C,7D,20-Sep-2014,08:18:41.444
20-Sep-2014,11:05:38.368,5555 2A55, C,F9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:05:40.368,5252 5266, D,38,20-Sep-2014,08:18:41.444
20-Sep-2014,11:05:42.368,5252 5266, D,18,20-Sep-2014,08:18:41.444
20-Sep-2014,11:05:50.364,5252 5266, D,68,20-Sep-2014,08:18:41.444
20-Sep-2014,11:05:52.364,5252 5266, C,9B,20-Sep-2014,08:18:41.444
20-Sep-2014,11:05:54.364,5252 5266, D,C8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:05:56.364,5252 5266, D,58,20-Sep-2014,08:18:41.444
20-Sep-2014,11:05:58.363,5252 5266, C,F9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:06:00.362,5252 5266, D,58,20-Sep-2014,08:18:41.444
20-Sep-2014,11:06:02.362,5252 5266, D,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:06:04.360,5252 5266, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,11:06:06.359,5252 5266, E,08,20-Sep-2014,08:18:41.444
20-Sep-2014,11:06:08.358,5252 5266, E,68,20-Sep-2014,08:18:41.444
